,Symbol,Stock Name,Country,Market Price,Day Price Range,PE Ratio,marketCap,Dividend Yield,52 Week Low Price Range Change,52 Week High Price Range Change,3 Month Average Daily Volume,52 Week Price Range,priceEpsCurrentYear
22,PWC.DE,,de_market,63.5,63.5 - 63.5,11.317056,7101522432,0.04890625,1.1290863,-0.030534351,7,29.825 - 65.5,
23,W2L.F,,dr_market,31.6,29.8 - 31.6,,2522988288,0.0,3.6470587,0.0,32,6.8 - 31.6,
24,AOD1.F,,dr_market,16.875,16.8 - 17.3,24.107143,7019983360,0.0062678065,0.4423077,-0.47674417,1054,11.7 - 32.25,
0,CFX.L,,gb_market,445.0,421.0 - 421.0,17.315174,40149856,6.067416e-05,0.48333332,-0.0862423,738,300.0 - 487.0,
1,0A1V.L,,gb_market,63.75,63.75 - 63.75,643.9394,2231001344,0.003916533,0.0,0.0,,63.75 - 63.75,
2,TLK.F,,dr_market,44.4,44.4 - 44.4,13.058824,5580680704,0.009821429,2.4153848,-0.043103445,25,13.0 - 46.4,
3,GGG.F,,dr_market,2.16,2.16 - 2.16,,4282589184,,0.17391306,-0.39664802,9,1.84 - 3.58,
4,ACXIF,Acciona,us_market,164.77,164.77 - 179.1,36.795444,9511875584,0.020689653,1.0069429,-0.080011174,245,82.1 - 179.1,
5,15R.F,,dr_market,48.6,42.0 - 48.6,,5572427264,,11.211055,-0.0830189,533,3.98 - 53.0,
6,DFQ.F,,dr_market,14.3,14.3 - 14.3,29.853863,2921690112,0.024475524,1.0098385,-0.17245373,24,7.115 - 17.28,
7,GX6.F,,dr_market,58.0,55.0 - 59.0,,2083916800,,5.8235292,-0.10769231,322,8.5 - 65.0,
8,FPE.F,,dr_market,36.9,36.9 - 36.9,22.500002,5865808384,0.026180837,0.5279504,-0.050192975,213,24.15 - 38.85,
9,VAS.F,,dr_market,31.49,31.49 - 31.49,,5746578432,0.006269593,1.4678683,-0.035528384,464,12.76 - 32.65,
